id,USERID,DEPARTMENT,TIMESTAMPS,EVENTID,TERMINALSN,ACCESSMETHOD,REMARKS,TERMINALIP,PHOTO,PHOTOSIZE,RECLOGDTM,RECLOGFROMIP,LOCAL_TIMESTAMP,PhotoPath
685771,Unknown User,,2016-08-01 03:41:02.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:06.000,10.0.170.250,2016-08-01 06:41:02.000,NULL
685772,Unknown User,,2016-08-01 03:41:08.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:10.000,10.0.170.250,2016-08-01 06:41:08.000,NULL
685774,Unknown User,,2016-08-01 03:41:10.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:15.000,10.0.170.250,2016-08-01 06:41:10.000,NULL
685775,Unknown User,,2016-08-01 03:41:15.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:16.000,10.0.170.250,2016-08-01 06:41:15.000,NULL
685776,Unknown User,,2016-08-01 03:41:17.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:18.000,10.0.170.250,2016-08-01 06:41:17.000,NULL
685778,Unknown User,,2016-08-01 03:41:22.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:26.000,10.0.170.250,2016-08-01 06:41:22.000,NULL
685779,Unknown User,,2016-08-01 03:41:26.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:28.000,10.0.170.250,2016-08-01 06:41:26.000,NULL
685781,Unknown User,,2016-08-01 03:41:28.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:33.000,10.0.170.250,2016-08-01 06:41:28.000,NULL
685782,Unknown User,,2016-08-01 03:41:32.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:38.000,10.0.170.250,2016-08-01 06:41:32.000,NULL
685783,Unknown User,,2016-08-01 03:41:34.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:41.000,10.0.170.250,2016-08-01 06:41:34.000,NULL
685785,Unknown User,,2016-08-01 03:41:40.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:44.000,10.0.170.250,2016-08-01 06:41:40.000,NULL
685786,Unknown User,,2016-08-01 03:41:44.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:41:46.000,10.0.170.250,2016-08-01 06:41:44.000,NULL
685787,Unknown User,,2016-08-01 03:41:59.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:00.000,10.0.170.250,2016-08-01 06:41:59.000,NULL
685788,Unknown User,,2016-08-01 03:42:00.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:02.000,10.0.170.250,2016-08-01 06:42:00.000,NULL
685789,Unknown User,,2016-08-01 03:42:06.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:08.000,10.0.170.250,2016-08-01 06:42:06.000,NULL
685791,Unknown User,,2016-08-01 03:42:11.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:18.000,10.0.170.250,2016-08-01 06:42:11.000,NULL
685792,Unknown User,,2016-08-01 03:42:15.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:25.000,10.0.170.250,2016-08-01 06:42:15.000,NULL
685793,Unknown User,,2016-08-01 03:42:16.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:25.000,10.0.170.250,2016-08-01 06:42:16.000,NULL
685794,Unknown User,,2016-08-01 03:42:18.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:28.000,10.0.170.250,2016-08-01 06:42:18.000,NULL
685797,Unknown User,,2016-08-01 03:42:22.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:47.000,10.0.170.250,2016-08-01 06:42:22.000,NULL
685798,Unknown User,,2016-08-01 03:42:24.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:47.000,10.0.170.250,2016-08-01 06:42:24.000,NULL
685799,Unknown User,,2016-08-01 03:42:46.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:47.000,10.0.170.250,2016-08-01 06:42:46.000,NULL
685800,Unknown User,,2016-08-01 03:42:49.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:52.000,10.0.170.250,2016-08-01 06:42:49.000,NULL
685801,Unknown User,,2016-08-01 03:42:52.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:55.000,10.0.170.250,2016-08-01 06:42:52.000,NULL
685802,Unknown User,,2016-08-01 03:42:54.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:58.000,10.0.170.250,2016-08-01 06:42:54.000,NULL
685804,Unknown User,,2016-08-01 03:42:57.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:42:59.000,10.0.170.250,2016-08-01 06:42:57.000,NULL
685806,Unknown User,,2016-08-01 03:43:46.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:43:49.000,10.0.170.250,2016-08-01 06:43:46.000,NULL
685807,Unknown User,,2016-08-01 03:43:49.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:43:56.000,10.0.170.250,2016-08-01 06:43:49.000,NULL
685808,Unknown User,,2016-08-01 03:43:53.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:43:56.000,10.0.170.250,2016-08-01 06:43:53.000,NULL
685809,Unknown User,,2016-08-01 03:43:58.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:43:59.000,10.0.170.250,2016-08-01 06:43:58.000,NULL
685810,Unknown User,,2016-08-01 03:44:00.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:03.000,10.0.170.250,2016-08-01 06:44:00.000,NULL
685811,Unknown User,,2016-08-01 03:44:06.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:09.000,10.0.170.250,2016-08-01 06:44:06.000,NULL
685812,Unknown User,,2016-08-01 03:44:11.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:15.000,10.0.170.250,2016-08-01 06:44:11.000,NULL
685813,Unknown User,,2016-08-01 03:44:14.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:24.000,10.0.170.250,2016-08-01 06:44:14.000,NULL
685814,Unknown User,,2016-08-01 03:44:22.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:25.000,10.0.170.250,2016-08-01 06:44:22.000,NULL
